position,company,location,salary,summary
Electro-Optical and Infrared Advanced Systems Manager (661374),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Technician IV - Radio Frequency (662158),Ball Aerospace,"Westminster, CO",,"Make decisions about designs and test configurations based on interpretation of test data. Our team of more than 3,000 engineers, scientists, technicians and..."
Range Engineer I (662148),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Phased Array Engineer I (661949),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Engineer I-Materials & Processes (661919),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Structural Engineer I (661894),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Analog/Digital Engineer I (662280),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Principal Antenna (Low Observable) Design Engineer (662108),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Administrator II - ND Operations (662028),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Talent Acquisition Specialist III (662136),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Manufacturing Shops & Service Center Technician II - 2nd Shift (660813),Ball Aerospace,"Westminster, CO",,"Must be able to organize and document various data inputs. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the..."
Systems Engineering,Lockheed Martin,"Littleton, CO 80125",,Candidate will participate in engineering tasks supporting a systems engineering team in the performance of data analysis....
Materials & Process Engineer - RF Electronic Assemblies (661361),Ball Aerospace,"Westminster, CO",,"Analyze data and generate reports on the results of these tests. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the..."
RF Range Project Engineer II (662065),Ball Aerospace,"Westminster, CO",,"Test and data collection equipment. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball..."
"System Architect(Statistical background) at Denver,CO","TekLeaders, Inc","Denver, CO 80210 (University area)",,"HelloGreetings!!!This is Magesh from Tekleaders Inc. Please find the below Job Description, If you’re interested respond back with your updated resume.Position..."
Engineering Aide II (662190),Ball Aerospace,"Westminster, CO",,May document tests and record data to assist with technical evaluation or analysis. BA/BS degree in STEM or 4 years of experience in data analysis is preferred....
Systems Administrator II (661230),Ball Aerospace,"Broomfield, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Engineering Aide III-Tactical Electronics (661362),Ball Aerospace,"Westminster, CO",,"May conduct tests and record data to assist with technical evaluation or analysis. Our team of more than 3,000 engineers, scientists, technicians and support..."
